Dates,Nikkei 225 Index (^N225) - Index Value
May-09-2012,9045.06
May-10-2012,9009.65
May-11-2012,8953.31
May-14-2012,8973.84
May-15-2012,8900.74
May-16-2012,8801.17
May-17-2012,8876.59
May-18-2012,8611.31
May-21-2012,8633.89
May-22-2012,8729.29
May-23-2012,8556.60
May-24-2012,8563.38
May-25-2012,8580.39
May-28-2012,8593.15
May-29-2012,8657.08
May-30-2012,8633.19
May-31-2012,8542.73
Jun-01-2012,8440.25
Jun-04-2012,8295.63
Jun-05-2012,8382.00
Jun-06-2012,8533.53
Jun-07-2012,8639.72
Jun-08-2012,8459.26
Jun-11-2012,8624.90
Jun-12-2012,8536.72
Jun-13-2012,8587.84
Jun-14-2012,8568.89
Jun-15-2012,8569.32
Jun-18-2012,8721.02
Jun-19-2012,8655.87
Jun-20-2012,8752.31
Jun-21-2012,8824.07
Jun-22-2012,8798.35
Jun-25-2012,8734.62
Jun-26-2012,8663.99
Jun-27-2012,8730.49
Jun-28-2012,8874.11
Jun-29-2012,9006.78
Jul-02-2012,9003.48
Jul-03-2012,9066.59
Jul-04-2012,9104.17
Jul-05-2012,9079.80
Jul-06-2012,9020.75
Jul-09-2012,8896.88
Jul-10-2012,8857.73
Jul-11-2012,8851.00
Jul-12-2012,8720.01
Jul-13-2012,8724.12
Jul-17-2012,8755.00
Jul-18-2012,8726.74
Jul-19-2012,8795.55
Jul-20-2012,8669.87
Jul-23-2012,8508.32
Jul-24-2012,8488.09
Jul-25-2012,8365.90
Jul-26-2012,8443.10
Jul-27-2012,8566.64
Jul-30-2012,8635.44
Jul-31-2012,8695.06
Aug-01-2012,8641.85
Aug-02-2012,8653.18
Aug-03-2012,8555.11
Aug-06-2012,8726.29
Aug-07-2012,8803.31
Aug-08-2012,8881.16
Aug-09-2012,8978.60
Aug-10-2012,8891.44
Aug-13-2012,8885.15
Aug-14-2012,8929.88
Aug-15-2012,8925.04
Aug-16-2012,9092.76
Aug-17-2012,9162.50
Aug-20-2012,9171.16
Aug-21-2012,9156.92
Aug-22-2012,9131.74
Aug-23-2012,9178.12
Aug-24-2012,9070.76
Aug-27-2012,9085.39
Aug-28-2012,9033.29
Aug-29-2012,9069.81
Aug-30-2012,8983.78
Aug-31-2012,8839.91
Sep-03-2012,8783.89
Sep-04-2012,8775.51
Sep-05-2012,8679.82
Sep-06-2012,8680.57
Sep-07-2012,8871.65
Sep-10-2012,8869.37
Sep-11-2012,8807.38
Sep-12-2012,8959.96
Sep-13-2012,8995.15
Sep-14-2012,9159.39
Sep-18-2012,9123.77
Sep-19-2012,9232.21
Sep-20-2012,9086.98
Sep-21-2012,9110.00
Sep-24-2012,9069.29
Sep-25-2012,9091.54
Sep-26-2012,8906.70
Sep-27-2012,8949.87
Sep-28-2012,8870.16
Oct-01-2012,8796.51
Oct-02-2012,8786.05
Oct-03-2012,8746.87
Oct-04-2012,8824.59
Oct-05-2012,8863.30
Oct-09-2012,8769.59
Oct-10-2012,8596.23
Oct-11-2012,8546.78
Oct-12-2012,8534.12
Oct-15-2012,8577.93
Oct-16-2012,8701.31
Oct-17-2012,8806.55
Oct-18-2012,8982.86
Oct-19-2012,9002.68
Oct-22-2012,9010.71
Oct-23-2012,9014.25
Oct-24-2012,8954.30
Oct-25-2012,9055.20
Oct-26-2012,8933.06
Oct-29-2012,8929.34
Oct-30-2012,8841.98
Oct-31-2012,8928.29
Nov-01-2012,8946.87
Nov-02-2012,9051.22
Nov-05-2012,9007.44
Nov-06-2012,8975.15
Nov-07-2012,8972.89
Nov-08-2012,8837.15
Nov-09-2012,8757.60
Nov-12-2012,8676.44
Nov-13-2012,8661.05
Nov-14-2012,8664.73
Nov-15-2012,8829.72
Nov-16-2012,9024.16
Nov-19-2012,9153.20
Nov-20-2012,9142.64
Nov-21-2012,9222.52
Nov-22-2012,9366.80
Nov-26-2012,9388.94
Nov-27-2012,9423.30
Nov-28-2012,9308.35
Nov-29-2012,9400.88
Nov-30-2012,9446.01
Dec-03-2012,9458.18
Dec-04-2012,9432.46
Dec-05-2012,9468.84
Dec-06-2012,9545.16
Dec-07-2012,9527.39
Dec-10-2012,9533.75
Dec-11-2012,9525.32
Dec-12-2012,9581.46
Dec-13-2012,9742.73
Dec-14-2012,9737.56
Dec-17-2012,9828.88
Dec-18-2012,9923.01
Dec-19-2012,10160.40
Dec-20-2012,10039.33
Dec-21-2012,9940.06
Dec-25-2012,10080.12
Dec-26-2012,10230.36
Dec-27-2012,10322.98
Dec-28-2012,10395.18
Jan-04-2013,10688.11
Jan-07-2013,10599.01
Jan-08-2013,10508.06
Jan-09-2013,10578.57
Jan-10-2013,10652.64
Jan-11-2013,10801.57
Jan-15-2013,10879.08
Jan-16-2013,10600.44
Jan-17-2013,10609.64
Jan-18-2013,10913.30
Jan-21-2013,10747.74
Jan-22-2013,10709.93
Jan-23-2013,10486.99
Jan-24-2013,10620.87
Jan-25-2013,10926.65
Jan-28-2013,10824.31
Jan-29-2013,10866.72
Jan-30-2013,11113.95
Jan-31-2013,11138.66
Feb-01-2013,11191.34
Feb-04-2013,11260.35
Feb-05-2013,11046.92
Feb-06-2013,11463.75
Feb-07-2013,11357.07
Feb-08-2013,11153.16
Feb-12-2013,11369.12
Feb-13-2013,11251.41
Feb-14-2013,11307.28
Feb-15-2013,11173.83
Feb-18-2013,11407.87
Feb-19-2013,11372.34
Feb-20-2013,11468.28
Feb-21-2013,11309.13
Feb-22-2013,11385.94
Feb-25-2013,11662.52
Feb-26-2013,11398.81
Feb-27-2013,11253.97
Feb-28-2013,11559.36
Mar-01-2013,11606.38
Mar-04-2013,11652.29
Mar-05-2013,11683.45
Mar-06-2013,11932.27
Mar-07-2013,11968.08
Mar-08-2013,12283.62
Mar-11-2013,12349.05
Mar-12-2013,12314.81
Mar-13-2013,12239.66
Mar-14-2013,12381.19
Mar-15-2013,12560.95
Mar-18-2013,12220.63
Mar-19-2013,12468.23
Mar-21-2013,12635.69
Mar-22-2013,12338.53
Mar-25-2013,12546.46
Mar-26-2013,12471.62
