Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2018-09-12,6317.011719,6265.09082,6363.869629,6351.799316,6351.799316,0,BTCUSD=X
2018-09-13,6354.241699,6354.241699,6535.40918,6517.311523,6517.311523,0,BTCUSD=X
2018-09-14,6515.409668,6456.169922,6596.101563,6512.710449,6512.710449,0,BTCUSD=X
2018-09-17,6514.05957,6257.520508,6540.209473,6281.20166,6281.20166,0,BTCUSD=X
2018-09-18,6280.909668,6265.711426,6384.179688,6371.301758,6371.301758,0,BTCUSD=X
2018-09-19,6371.849609,6208.338379,6448.459473,6398.537598,6398.537598,0,BTCUSD=X
2018-09-20,6398.849609,6395.951172,6529.260742,6519.669922,6519.669922,0,BTCUSD=X
2018-09-21,6513.868652,6496.35791,6794.332031,6734.950195,6734.950195,0,BTCUSD=X
2018-09-24,6704.772461,6580.899902,6713.558594,6595.410156,6595.410156,0,BTCUSD=X
2018-09-25,6603.641602,6381.86084,6603.641602,6446.468262,6446.468262,0,BTCUSD=X
2018-09-26,6452.791016,6397.891602,6585.910156,6494.999512,6494.999512,0,BTCUSD=X
2018-09-27,6495.290527,6464.95166,6712.098145,6676.748047,6676.748047,0,BTCUSD=X
2018-09-28,6678.750977,6598.321289,6785.029297,6644.129883,6644.129883,0,BTCUSD=X
2018-10-01,6619.851074,6549.080078,6653.297852,6589.620605,6589.620605,0,BTCUSD=X
2018-10-02,6593.240234,6537.900879,6611.841309,6556.100098,6556.100098,0,BTCUSD=X
2018-10-03,6553.861816,6454.027832,6571.458984,6502.588867,6502.588867,0,BTCUSD=X
2018-10-04,6497.911621,6497.911621,6603.310059,6576.688477,6576.688477,0,BTCUSD=X
2018-10-05,6574.150879,6557.411621,6623.62207,6622.481445,6622.481445,0,BTCUSD=X
2018-10-08,6600.189453,6576.040527,6675.05957,6652.230957,6652.230957,0,BTCUSD=X
2018-10-09,6653.081055,6606.939941,6661.408691,6642.637695,6642.637695,0,BTCUSD=X
2018-10-10,6640.291016,6538.960938,6640.291016,6585.52832,6585.52832,0,BTCUSD=X
2018-10-11,6586.73877,6243.740723,6586.73877,6256.240234,6256.240234,0,BTCUSD=X
2018-10-12,6239.249023,6236.470703,6328.500977,6274.580566,6274.580566,0,BTCUSD=X
