Date,Close,Ticker
Jan-25-2017,1382.44,Russell 2000
Jan-26-2017,1375.6,Russell 2000
Jan-27-2017,1370.7,Russell 2000
Jan-30-2017,1352.33,Russell 2000
Jan-31-2017,1361.82,Russell 2000
Feb-01-2017,1361.23,Russell 2000
Feb-02-2017,1357.43,Russell 2000
Feb-03-2017,1377.84,Russell 2000
Feb-06-2017,1366.66,Russell 2000
Feb-07-2017,1361.06,Russell 2000
Feb-08-2017,1358.74,Russell 2000
Feb-09-2017,1378.53,Russell 2000
Feb-10-2017,1388.84,Russell 2000
Feb-13-2017,1392.38,Russell 2000
Feb-14-2017,1396.65,Russell 2000
Feb-15-2017,1404.21,Russell 2000
Feb-16-2017,1399.13,Russell 2000
Feb-17-2017,1399.86,Russell 2000
Feb-21-2017,1410.34,Russell 2000
Feb-22-2017,1403.86,Russell 2000
Feb-23-2017,1394.62,Russell 2000
Feb-24-2017,1394.53,Russell 2000
Feb-27-2017,1407.97,Russell 2000
Feb-28-2017,1386.68,Russell 2000
Mar-01-2017,1413.64,Russell 2000
Mar-02-2017,1395.67,Russell 2000
Mar-03-2017,1394.13,Russell 2000
Mar-06-2017,1384.25,Russell 2000
Mar-07-2017,1374.88,Russell 2000
Mar-08-2017,1366.04,Russell 2000
Mar-09-2017,1360.12,Russell 2000
Mar-10-2017,1365.27,Russell 2000
Mar-13-2017,1370.29,Russell 2000
Mar-14-2017,1362.38,Russell 2000
Mar-15-2017,1382.83,Russell 2000
Mar-16-2017,1386.03,Russell 2000
Mar-17-2017,1391.52,Russell 2000
Mar-20-2017,1384.1,Russell 2000
Mar-21-2017,1346.55,Russell 2000
Mar-22-2017,1345.6,Russell 2000
Mar-23-2017,1353.43,Russell 2000
Mar-24-2017,1354.64,Russell 2000
Mar-27-2017,1357.32,Russell 2000
Mar-28-2017,1367.26,Russell 2000
Mar-29-2017,1371.65,Russell 2000
Mar-30-2017,1382.35,Russell 2000
Mar-31-2017,1385.92,Russell 2000
Apr-03-2017,1369.67,Russell 2000
Apr-04-2017,1368.18,Russell 2000
Apr-05-2017,1352.14,Russell 2000
Apr-06-2017,1364.43,Russell 2000
Apr-07-2017,1364.56,Russell 2000
Apr-10-2017,1367.09,Russell 2000
Apr-11-2017,1376.95,Russell 2000
Apr-12-2017,1359.2,Russell 2000
Apr-13-2017,1345.24,Russell 2000
Apr-17-2017,1361.18,Russell 2000
Apr-18-2017,1361.9,Russell 2000
Apr-19-2017,1367.13,Russell 2000
Apr-20-2017,1384.15,Russell 2000
Apr-21-2017,1379.85,Russell 2000
Apr-24-2017,1397.94,Russell 2000
Apr-25-2017,1411.08,Russell 2000
Apr-26-2017,1419.43,Russell 2000
Apr-27-2017,1417.13,Russell 2000
Apr-28-2017,1400.43,Russell 2000
May-01-2017,1407.36,Russell 2000
May-02-2017,1399.36,Russell 2000
May-03-2017,1390.92,Russell 2000
May-04-2017,1388.85,Russell 2000
May-05-2017,1397,Russell 2000
May-08-2017,1391.64,Russell 2000
May-09-2017,1391.86,Russell 2000
May-10-2017,1399.59,Russell 2000
May-11-2017,1390.2,Russell 2000
May-12-2017,1382.77,Russell 2000
May-15-2017,1393.92,Russell 2000
May-16-2017,1394.68,Russell 2000
May-17-2017,1355.89,Russell 2000
May-18-2017,1361.08,Russell 2000
May-19-2017,1367.33,Russell 2000
May-22-2017,1377.14,Russell 2000
May-23-2017,1380.98,Russell 2000
May-24-2017,1382.51,Russell 2000
May-25-2017,1383.39,Russell 2000
May-26-2017,1382.24,Russell 2000
May-30-2017,1371.19,Russell 2000
May-31-2017,1370.21,Russell 2000
Jun-01-2017,1396.06,Russell 2000
Jun-02-2017,1405.39,Russell 2000
Jun-05-2017,1396.45,Russell 2000
Jun-06-2017,1394.9,Russell 2000
Jun-07-2017,1396.67,Russell 2000
Jun-08-2017,1415.61,Russell 2000
Jun-09-2017,1421.71,Russell 2000
Jun-12-2017,1419.21,Russell 2000
Jun-13-2017,1425.99,Russell 2000
Jun-14-2017,1417.57,Russell 2000
Jun-15-2017,1410.08,Russell 2000
Jun-16-2017,1406.73,Russell 2000
Jun-19-2017,1418.08,Russell 2000
Jun-20-2017,1402.97,Russell 2000
Jun-21-2017,1399.25,Russell 2000
Jun-22-2017,1404.54,Russell 2000
Jun-23-2017,1414.78,Russell 2000
Jun-26-2017,1416.64,Russell 2000
Jun-27-2017,1403.52,Russell 2000
Jun-28-2017,1425.27,Russell 2000
Jun-29-2017,1416.2,Russell 2000
Jun-30-2017,1415.36,Russell 2000
Jul-03-2017,1426.68,Russell 2000
Jul-05-2017,1420.15,Russell 2000
Jul-06-2017,1400.82,Russell 2000
Jul-07-2017,1415.84,Russell 2000
Jul-10-2017,1408.48,Russell 2000
Jul-11-2017,1413.05,Russell 2000
Jul-12-2017,1424.32,Russell 2000
Jul-13-2017,1425.66,Russell 2000
Jul-14-2017,1428.82,Russell 2000
Jul-17-2017,1431.6,Russell 2000
Jul-18-2017,1427.61,Russell 2000
Jul-19-2017,1441.77,Russell 2000
Jul-20-2017,1442.35,Russell 2000
Jul-21-2017,1435.84,Russell 2000
Jul-24-2017,1438.06,Russell 2000
Jul-25-2017,1450.39,Russell 2000
Jul-26-2017,1442.28,Russell 2000
Jul-27-2017,1433.62,Russell 2000
Jul-28-2017,1429.26,Russell 2000
Jul-31-2017,1425.14,Russell 2000
Aug-01-2017,1428.33,Russell 2000
Aug-02-2017,1412.9,Russell 2000
Aug-03-2017,1405.23,Russell 2000
Aug-04-2017,1412.32,Russell 2000
Aug-07-2017,1414.17,Russell 2000
Aug-08-2017,1410.15,Russell 2000
Aug-09-2017,1396.95,Russell 2000
Aug-10-2017,1372.54,Russell 2000
Aug-11-2017,1374.23,Russell 2000
Aug-14-2017,1394.31,Russell 2000
Aug-15-2017,1383.24,Russell 2000
Aug-16-2017,1383.53,Russell 2000
Aug-17-2017,1358.94,Russell 2000
Aug-18-2017,1357.79,Russell 2000
Aug-21-2017,1356.91,Russell 2000
Aug-22-2017,1371.54,Russell 2000
Aug-23-2017,1369.74,Russell 2000
Aug-24-2017,1373.88,Russell 2000
Aug-25-2017,1377.45,Russell 2000
Aug-28-2017,1382.23,Russell 2000
Aug-29-2017,1383.68,Russell 2000
Aug-30-2017,1391.32,Russell 2000
Aug-31-2017,1405.28,Russell 2000
Sep-01-2017,1413.57,Russell 2000
Sep-05-2017,1399.66,Russell 2000
Sep-06-2017,1402.2,Russell 2000
Sep-07-2017,1398.67,Russell 2000
Sep-08-2017,1399.43,Russell 2000
Sep-11-2017,1414.83,Russell 2000
Sep-12-2017,1423.46,Russell 2000
Sep-13-2017,1426.89,Russell 2000
Sep-14-2017,1425.02,Russell 2000
Sep-15-2017,1431.71,Russell 2000
Sep-18-2017,1441.08,Russell 2000
Sep-19-2017,1440.4,Russell 2000
Sep-20-2017,1445.42,Russell 2000
Sep-21-2017,1444.18,Russell 2000
Sep-22-2017,1450.78,Russell 2000
Sep-25-2017,1451.96,Russell 2000
Sep-26-2017,1456.86,Russell 2000
Sep-27-2017,1484.81,Russell 2000
Sep-28-2017,1488.79,Russell 2000
Sep-29-2017,1490.86,Russell 2000
Oct-02-2017,1509.47,Russell 2000
Oct-03-2017,1511.97,Russell 2000
Oct-04-2017,1507.77,Russell 2000
Oct-05-2017,1512.09,Russell 2000
Oct-06-2017,1510.22,Russell 2000
Oct-09-2017,1503.56,Russell 2000
Oct-10-2017,1508.01,Russell 2000
Oct-11-2017,1506.93,Russell 2000
Oct-12-2017,1505.16,Russell 2000
